Marca temporal,Conocias este tipo de software,Cuantas veces has usado este tipo de software,Facilidad para cargar una canción en la lista de música,Facilidad para cargar otra cancion (cuando cambia el menu),Facilidad para usar la busqueda de canciones,Facilidad para cargar una canción en un deck,Facilidad para reproducir la canción,Facilidad para subir el volumen del deck,Facilidad para modificar el volumen global,Facilidad para modificar los ecualizadores,Facilidad para resetear los ecualizadores,Facilidad para usar los CUEs,Facilidad para modificar el pitch,Facilidad para resetear el pitch,Facilidad para usar los loops,Facilidad para usar un efecto,Facilidad para crear un nuevo efecto,Facilidad para modificar los efectos,Facilidad para modificar el lenguaje,Como consideras la disposicion de objetos,¿Ha visto la pestaña de ayuda? ¿Le ha resultado util?,Sugerencias de mejora,Opinion del usuario,Otros
22/02/2019 17:53:20,No,Nunca,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,3,4,Parece correcta,No,Etiquetas para todos los sliders. Titulo de la ventana y el favicon. Quitar extensión al titulo. Mejor imagen para la ampliación. ,Quizás un poco complicado usarlo sin una pantalla táctil. Un controlador físico seria mas fácil de usar. ,
22/02/2019 17:55:34,Si,Nunca,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,"Bastante bien, quizas restringir un poco mas la parte de abajo para tener mas espacio. Aumentar tamaño botones. ¿Que los ecualizadores esten ya desplegados?",No la ha necesitado,Que puedas girar los platos manualmente resultando en un efecto de scratch.,"No es dificil de usar, no es lo mas completo pero esta bien.",No ha usado software de mesa de mezclas pero sabe como funciona. El cambio de idioma no funciona cuando la conexion a internet falla (lo carga como asset aparte)
22/02/2019 17:56:42,Si,Al menos 1 vez,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Los efectos en la misma pestaña que los settings quizas no. CUEs confusas. explicar mejor el boton de generar CUEs.,"Si, pero no ha llegado a usarla. No sabia que se podían pulsar, añadir icono y resaltar las palabras de la ayuda.",Funcionalidad de scratch en el plato. Ampliacion mas intuitiva,Esta bien.,
22/02/2019 17:58:41,Si,Al menos 1 vez,5,5,5,5,5,5,5,5,5,5,3,5,1,5,3,3,5,Correcta,"SI, pero la ha visto al terminar la prueba.",Añadir texto de loops. Mostrar texto a la hora de cargar mas grande o dar mas feedback visual. Separar ajustes de efectos,Podria usarlo algun fin de semana. Le parece bien.,
22/02/2019 18:00:13,Si,Al menos 10 veces,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,Correcta,No,"Distinguir entre los decks, cambiar los efectos a una pestaña distinta. Aumentar el tamaño del icono de reset para los ecualizadores o hacerlo mas claro",Esta bien,
22/02/2019 18:02:11,No,Nunca,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Bien,Si la ha visto pero no la ha usado,"Boton de reset de balance de volumen, posibilidad de modificar los efectos existentes o creados",Lo usaria ocasionalmente. Sobretodo si funciona con un dispositivo movil,
25/02/2019 19:03:06,Si,Al menos 10 veces,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,"Cues: si pulsas uno vacio añadir, click derecho borrar",No,"Texto de loops, boton de bañance que cambie de uno a otro, añadir musica de youtube desde youtubepp o y2mate",Esta bien,Bug al intentar cargar la cancion por poder arrastrar las imagenes
25/02/2019 19:23:25,Si,Al menos 5 veces,5,5,5,5,5,5,5,2,2,5,4,5,5,3,4,5,5,No cambiaria nada,"Si, si, para encontrar los efectos",Nombre de los loops,No lo utilizaria para uso personal pero como curiosidad para usarlo con los amigos si,"No arrastrar la imagen de las canciones, el efecto 6 falla"
25/02/2019 19:36:20,Si,Nunca,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,Bien,"Si, si","Ponrer los ecualizadores a la izquierda y derecha al desplegar, arrastrar para modificar.",No lo usaria normalmente,
28/02/2019 20:27:10,No,Nunca,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,Bien,"Si, pero no la ha usado","Boton de reset en el balance de volumen, texto en volumen y ecualizadores, rojo del cue como el boton de elimnar cancion",Como software de iniciacion para ser DJ no esta mal,
